slug,url,tier,profile,vendor,num_pairs,accuracy_raw,accuracy_rendered,accuracy_delta,raw_fetch_status,rendered_fetch_status,parseability_score_raw,parseability_score_rendered,universal_score_raw,universal_score_rendered,content_type
developers-cloudflare-com-workers-runtime-apis-fetch,https://developers.cloudflare.com/workers/runtime-apis/fetch/,unknown,reference,cloudflare,5,1.0,1.0,0.0,ok,ok,65.52668436178006,65.40976080009358,65.52668436178006,65.40976080009358,article
developers-cloudflare-com-workers-runtime-apis-kv,https://developers.cloudflare.com/workers/runtime-apis/kv/,unknown,reference,cloudflare,0,,,,short,short,,,,,
developers-cloudflare-com-workers-wrangler-commands,https://developers.cloudflare.com/workers/wrangler/commands/,unknown,reference,cloudflare,0,,,,short,short,,,,,
developers-cloudflare-com-zero-trust-identity,https://developers.cloudflare.com/zero-trust/identity/,unknown,article,cloudflare,0,,,,failed,failed,,,,,
docs-aws-amazon-com-AmazonRDS-latest-UserGuide-CHAP-BestPractices-html,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_BestPractices.html,unknown,article,aws,5,1.0,1.0,0.0,ok,ok,81.1025641025641,81.1025641025641,81.1025641025641,81.1025641025641,article
docs-aws-amazon-com-AmazonRDS-latest-UserGuide-CHAP-Tutorials-html,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Tutorials.html,unknown,tutorial,aws,5,0.8,0.8,0.0,ok,ok,74.45001888783233,74.45001888783233,74.45001888783233,74.45001888783233,article
docs-aws-amazon-com-AmazonRDS-latest-UserGuide-Welcome-html,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html,unknown,landing,aws,5,1.0,1.0,0.0,ok,ok,80.5934065934066,80.5934065934066,80.5934065934066,80.5934065934066,article
docs-aws-amazon-com-AmazonS3-latest-API-API-GetObject-html,https://docs.aws.amazon.com/AmazonS3/latest/API/API_GetObject.html,unknown,reference,aws,5,1.0,1.0,0.0,ok,ok,80.4,80.4,80.4,80.4,reference
docs-aws-amazon-com-AmazonS3-latest-API-Welcome-html,https://docs.aws.amazon.com/AmazonS3/latest/API/Welcome.html,unknown,reference,aws,5,1.0,1.0,0.0,ok,ok,81.08333333333333,81.08333333333333,81.08333333333333,81.08333333333333,reference
docs-aws-amazon-com-AmazonS3-latest-userguide-example-s3-Scenario-GettingStarted,https://docs.aws.amazon.com/AmazonS3/latest/userguide/example_s3_Scenario_GettingStarted_section.html,unknown,sample,aws,5,,1.0,,short,ok,,81.78048780487805,,81.78048780487805,article
docs-aws-amazon-com-AmazonS3-latest-userguide-security-best-practices-html,https://docs.aws.amazon.com/AmazonS3/latest/userguide/security-best-practices.html,unknown,article,aws,5,1.0,1.0,0.0,ok,ok,74.93296925876604,74.93296925876604,74.93296925876604,74.93296925876604,article
docs-aws-amazon-com-AmazonS3-latest-userguide-storage-class-intro-html,https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html,unknown,article,aws,5,1.0,1.0,0.0,ok,ok,81.11111111111111,81.11111111111111,81.11111111111111,81.11111111111111,article
docs-aws-amazon-com-AmazonS3-latest-userguide-troubleshooting-html,https://docs.aws.amazon.com/AmazonS3/latest/userguide/troubleshooting.html,unknown,faq,aws,5,,1.0,,short,ok,,81.78048780487805,,81.78048780487805,article
docs-aws-amazon-com-AmazonS3-latest-userguide-tutorial-s3-static-website-with-cl,https://docs.aws.amazon.com/AmazonS3/latest/userguide/tutorial-s3-static-website-with-cloudfront.html,unknown,tutorial,aws,5,,1.0,,short,ok,,81.78048780487805,,81.78048780487805,tutorial
docs-aws-amazon-com-AmazonS3-latest-userguide-UsingMetadata-html,https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingMetadata.html,challenged=robots_blocked,article,aws,5,1.0,1.0,0.0,ok,ok,79.71428571428572,79.71428571428572,79.71428571428572,79.71428571428572,article
docs-aws-amazon-com-AmazonS3-latest-userguide-UsingObjects-html,https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingObjects.html,unknown,landing,aws,5,1.0,1.0,0.0,ok,ok,79.83333333333333,79.83333333333333,79.83333333333333,79.83333333333333,article
docs-aws-amazon-com-AWSEC2-latest-APIReference-Welcome-html,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/Welcome.html,unknown,reference,aws,0,,,,short,short,,,,,
docs-aws-amazon-com-AWSEC2-latest-UserGuide-concepts-html,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/concepts.html,unknown,landing,aws,5,1.0,1.0,0.0,ok,ok,80.38888888888889,80.38888888888889,80.38888888888889,80.38888888888889,article
docs-aws-amazon-com-AWSEC2-latest-UserGuide-tutorial-ec2-launch-instance-html,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/tutorial-ec2-launch-instance.html,unknown,tutorial,aws,5,,1.0,,short,ok,,80.38888888888889,,80.38888888888889,tutorial
docs-aws-amazon-com-cli-latest-reference-dynamodb-index-html,https://docs.aws.amazon.com/cli/latest/reference/dynamodb/index.html,unknown,reference,aws,0,,,,short,short,,,,,
docs-aws-amazon-com-cli-latest-reference-ec2-index-html,https://docs.aws.amazon.com/cli/latest/reference/ec2/index.html,unknown,reference,aws,0,,,,short,short,,,,,
docs-aws-amazon-com-cli-latest-reference-s3-index-html,https://docs.aws.amazon.com/cli/latest/reference/s3/index.html,unknown,reference,aws,5,1.0,1.0,0.0,ok,ok,75.72828638497653,75.72828638497653,75.72828638497653,75.72828638497653,reference
docs-aws-amazon-com-code-samples-latest-catalog-python-html,https://docs.aws.amazon.com/code-samples/latest/catalog/python.html,unknown,sample,aws,0,,,,short,short,,,,,
docs-aws-amazon-com-lambda-latest-api-welcome-html,https://docs.aws.amazon.com/lambda/latest/api/welcome.html,unknown,reference,aws,5,0.8,0.8,0.0,ok,ok,81.5,81.5,81.5,81.5,reference
docs-aws-amazon-com-lambda-latest-dg-lambda-runtimes-html,https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html,unknown,article,aws,5,1.0,1.0,0.0,ok,ok,80.24124649859944,80.24124649859944,80.24124649859944,80.24124649859944,article
docs-aws-amazon-com-lambda-latest-dg-lambda-troubleshooting-html,https://docs.aws.amazon.com/lambda/latest/dg/lambda-troubleshooting.html,unknown,faq,aws,0,,,,short,short,,,,,
docs-aws-amazon-com-lambda-latest-dg-tutorial-context-html,https://docs.aws.amazon.com/lambda/latest/dg/tutorial-context.html,unknown,tutorial,aws,5,,1.0,,short,ok,,81.5,,81.5,tutorial
docs-aws-amazon-com-lambda-latest-dg-welcome-html,https://docs.aws.amazon.com/lambda/latest/dg/welcome.html,unknown,landing,aws,5,1.0,1.0,0.0,ok,ok,81.5,81.5,81.5,81.5,article
docs-aws-amazon-com-sdk-for-python-latest-developer-guide-sample-scripts-html,https://docs.aws.amazon.com/sdk-for-python/latest/developer-guide/sample-scripts.html,unknown,sample,aws,0,,,,failed,failed,,,,,
docs-aws-amazon-com-whitepapers-latest-aws-overview-introduction-html,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/introduction.html,unknown,article,aws,5,1.0,1.0,0.0,ok,ok,81.09794696321643,81.09794696321643,81.09794696321643,81.09794696321643,article
docs-databricks-com,https://docs.databricks.com/,unknown,landing,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en,https://docs.databricks.com/aws/en/,unknown,landing,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-clusters-configure,https://docs.databricks.com/aws/en/clusters/configure,unknown,tutorial,databricks,5,1.0,1.0,0.0,ok,ok,83.00256808408983,83.00256808408983,83.00256808408983,83.00256808408983,article
docs-databricks-com-aws-en-delta,https://docs.databricks.com/aws/en/delta/,unknown,landing,databricks,5,1.0,1.0,0.0,ok,ok,79.78594553594553,79.78594553594553,79.78594553594553,79.78594553594553,article
docs-databricks-com-aws-en-delta-index,https://docs.databricks.com/aws/en/delta/index,unknown,article,databricks,5,1.0,1.0,0.0,ok,ok,79.78594553594553,79.81070918142356,79.78594553594553,79.81070918142356,article
docs-databricks-com-aws-en-dev-tools-api-jobs,https://docs.databricks.com/aws/en/dev-tools/api/jobs,unknown,reference,databricks,0,,,,failed,failed,,,,,
docs-databricks-com-aws-en-dev-tools-api-latest-index-html,https://docs.databricks.com/aws/en/dev-tools/api/latest/index.html,unknown,reference,databricks,5,1.0,1.0,0.0,ok,ok,77.40540650575987,77.40540650575987,77.40540650575987,77.40540650575987,reference
docs-databricks-com-aws-en-dev-tools-cli-commands,https://docs.databricks.com/aws/en/dev-tools/cli/commands,unknown,reference,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-dev-tools-cli-install,https://docs.databricks.com/aws/en/dev-tools/cli/install,unknown,tutorial,databricks,5,0.8,0.8,0.0,ok,ok,82.71958304853041,82.71958304853041,82.71958304853041,82.71958304853041,article
docs-databricks-com-aws-en-dlt,https://docs.databricks.com/aws/en/dlt/,unknown,article,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-getting-started,https://docs.databricks.com/aws/en/getting-started/,unknown,tutorial,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-getting-started-quick-start,https://docs.databricks.com/aws/en/getting-started/quick-start,unknown,tutorial,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-getting-started-sample-data,https://docs.databricks.com/aws/en/getting-started/sample-data,unknown,sample,databricks,0,,,,failed,failed,,,,,
docs-databricks-com-aws-en-jobs-scheduled,https://docs.databricks.com/aws/en/jobs/scheduled,unknown,tutorial,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-lakehouse,https://docs.databricks.com/aws/en/lakehouse/,unknown,landing,databricks,5,1.0,0.8,-0.19999999999999996,ok,ok,79.3157894736842,79.3157894736842,79.3157894736842,79.3157894736842,article
docs-databricks-com-aws-en-lakehouse-medallion,https://docs.databricks.com/aws/en/lakehouse/medallion,unknown,article,databricks,5,0.6,0.6,0.0,ok,ok,83.19273307466366,83.19273307466366,83.19273307466366,83.19273307466366,article
docs-databricks-com-aws-en-machine-learning,https://docs.databricks.com/aws/en/machine-learning/,unknown,landing,databricks,5,1.0,1.0,0.0,ok,ok,84.01101634683724,84.01101634683724,84.01101634683724,84.01101634683724,article
docs-databricks-com-aws-en-notebooks-notebooks-use,https://docs.databricks.com/aws/en/notebooks/notebooks-use,unknown,tutorial,databricks,5,1.0,1.0,0.0,ok,ok,83.10448328267478,83.10448328267478,83.10448328267478,83.10448328267478,article
docs-databricks-com-aws-en-notebooks-sample-notebooks,https://docs.databricks.com/aws/en/notebooks/sample-notebooks,unknown,sample,databricks,0,,,,failed,failed,,,,,
docs-databricks-com-aws-en-release-notes,https://docs.databricks.com/aws/en/release-notes/,unknown,faq,databricks,5,1.0,1.0,0.0,ok,ok,76.36923968665542,76.36923968665542,76.36923968665542,76.36923968665542,article
docs-databricks-com-aws-en-resources-limits,https://docs.databricks.com/aws/en/resources/limits,unknown,faq,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-security-auth-access-control,https://docs.databricks.com/aws/en/security/auth/access-control/,unknown,article,databricks,5,1.0,1.0,0.0,ok,ok,82.04139431663971,82.04556405085165,82.04139431663971,82.04556405085165,article
docs-databricks-com-aws-en-security-network,https://docs.databricks.com/aws/en/security/network/,challenged=cf_challenge,article,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-sql-language-manual,https://docs.databricks.com/aws/en/sql/language-manual/,unknown,reference,databricks,5,0.8,0.8,0.0,ok,ok,67.80058122778365,67.8248722007144,67.80058122778365,67.8248722007144,article
docs-databricks-com-aws-en-sql-language-manual-sql-ref-functions,https://docs.databricks.com/aws/en/sql/language-manual/sql-ref-functions,unknown,reference,databricks,0,,,,short,short,,,,,
docs-databricks-com-aws-en-sql-language-manual-sql-ref-syntax-aux,https://docs.databricks.com/aws/en/sql/language-manual/sql-ref-syntax-aux,challenged=robots_blocked,reference,databricks,0,,,,failed,failed,,,,,
